Invoice Number,Date Sale,Time Sale,Product,Quantity,Unit Price,Total Sale,Payment Method,Seller,Discounts,Taxes,Notes,Remaining Stock,Category_Cigarettes,Category_Drinks,Category_Others,Category_Candies
8437-243,2024-08-12,20:39:04.438819,Candies,8,1.26,10.08,PayPal,Seller D,0.59,1.61,Note 2,97,0.0,0.0,0.0,0
9527-768,2024-08-02,20:39:04.438819,Camel,17,17.0,289.0,Cash,Seller A,71.33,42.81,Note 2,10,1.0,0.0,0.0,0
4384-514,2024-07-26,20:39:04.454437,Water,13,6.17,80.21,Bank Transfer,Seller B,7.51,12.83,Note 4,60,0.0,1.0,0.0,0
3276-708,2024-08-10,20:39:04.454437,Water,10,12.06,120.6,PayPal,Seller D,26.43,19.3,Note 2,33,0.0,1.0,0.0,0
8812-648,2024-07-14,20:39:04.454437,Cookies,14,17.67,247.38,Credit Card,Seller A,54.94,39.58,Note 1,81,0.0,0.0,0.0,0
5154-866,2024-08-17,20:39:04.454437,Camel,5,17.0,85.0,Credit Card,Seller D,18.98,14.09,Note 1,16,1.0,0.0,0.0,0
8421-509,2024-08-19,20:39:04.454437,Water,4,6.17,24.68,PayPal,Seller B,3.81,3.95,Note 1,54,0.0,1.0,0.0,0
3349-903,2024-08-27,20:39:04.454437,Cookies,9,15.66,140.94,PayPal,Seller A,26.58,22.55,Note 2,53,0.0,0.0,0.0,0
5768-159,2024-08-24,20:39:04.454437,Cigarette Lighter,20,12.0,240.0,Bank Transfer,Seller A,40.38,30.88,Note 3,32,0.0,0.0,1.0,0
7034-701,2024-07-27,20:39:04.454437,Soda,8,16.72,133.76,Cash,Seller C,4.58,21.4,Note 3,60,0.0,1.0,0.0,0
4535-791,2024-07-11,20:39:04.454437,Magazine,3,4.51,13.53,Credit Card,Seller B,3.02,2.16,Note 2,60,0.0,0.0,1.0,0
1600-768,2024-08-29,20:39:04.470068,Candies,2,18.1,36.2,Cash,Seller D,0.88,5.79,Note 3,37,0.0,0.0,0.0,0
4642-389,2024-07-07,20:39:04.470068,Candies,17,19.4,329.8,Bank Transfer,Seller D,74.08,52.77,Note 2,24,0.0,0.0,0.0,0
6931-313,2024-08-07,20:39:04.470068,Beer,20,17.22,344.4,Bank Transfer,Seller B,10.94,55.1,Note 4,93,0.0,1.0,0.0,0
7299-346,2024-07-10,20:39:04.470068,Soda,8,19.31,154.48,Cash,Seller A,25.28,24.72,Note 3,31,0.0,1.0,0.0,0
9084-749,2024-08-05,20:39:04.470068,Cigarette Lighter,5,12.0,60.0,Bank Transfer,Seller B,3.7,3.8,Note 4,44,0.0,0.0,1.0,0
6086-656,2024-08-10,20:39:04.470068,Chewing gums,3,13.8,41.4,Credit Card,Seller B,7.81,6.62,Note 3,74,0.0,0.0,0.0,0
5733-819,2024-07-21,20:39:04.470068,Toilet Paper,18,2.02,36.36,Cash,Seller C,4.41,5.82,Note 3,0,0.0,0.0,1.0,0
5992-177,2024-07-31,20:39:04.470068,Soda,7,5.61,39.27,Bank Transfer,Seller A,11.05,6.28,Note 2,79,0.0,1.0,0.0,0
9714-652,2024-08-17,20:39:04.470068,Camel,15,17.0,255.0,Cash,Seller B,1.53,9.46,Note 1,78,1.0,0.0,0.0,0
5891-684,2024-08-01,20:39:04.485694,Chocolate,18,19.45,350.1,PayPal,Seller C,68.49,56.02,Note 2,96,0.0,0.0,0.0,0
1443-252,2024-08-30,20:39:04.485694,Lucky Strike,6,11.0,66.0,Bank Transfer,Seller B,25.2,17.65,Note 4,23,1.0,0.0,0.0,0
9918-783,2024-07-19,20:39:04.485694,Chewing gums,11,1.03,11.33,Credit Card,Seller A,2.93,1.81,Note 1,8,0.0,0.0,0.0,0
1883-797,2024-07-18,20:39:04.485694,Chewing gums,3,19.29,57.87,PayPal,Seller A,15.45,9.26,Note 2,7,0.0,0.0,0.0,0
4221-662,2024-08-23,20:39:04.485694,Camel,17,17.0,289.0,Credit Card,Seller A,59.03,33.08,Note 1,7,1.0,0.0,0.0,0
8495-765,2024-08-15,20:39:04.485694,Lucky Strike,15,11.0,165.0,Bank Transfer,Seller D,28.96,23.86,Note 2,74,1.0,0.0,0.0,0
2710-807,2024-07-08,20:39:04.485694,Cigarette Lighter,11,12.0,132.0,Bank Transfer,Seller C,5.47,13.82,Note 3,7,0.0,0.0,1.0,0
9738-541,2024-07-08,20:39:04.485694,Lucky Strike,2,11.0,22.0,Credit Card,Seller A,3.34,2.33,Note 3,36,1.0,0.0,0.0,0
5001-789,2024-08-23,20:39:04.485694,Water,14,14.95,209.3,Bank Transfer,Seller B,33.17,33.49,Note 3,10,0.0,1.0,0.0,0
5317-302,2024-07-14,20:39:04.485694,Marlboro,7,13.0,91.0,Credit Card,Seller B,2.31,1.41,Note 2,36,1.0,0.0,0.0,0
7575-433,2024-08-23,20:39:04.501311,Soda,14,3.27,45.78,Cash,Seller D,6.93,7.32,Note 4,48,0.0,1.0,0.0,0
2513-902,2024-07-16,20:39:04.501311,Toilet Paper,1,1.62,1.62,Bank Transfer,Seller C,0.17,0.26,Note 3,10,0.0,0.0,1.0,0
4167-668,2024-08-25,20:39:04.501311,Marlboro,16,13.0,208.0,Credit Card,Seller D,3.81,14.05,Note 4,71,1.0,0.0,0.0,0
8861-944,2024-08-06,20:39:04.501311,Water,8,12.5,100.0,Cash,Seller C,29.97,16.0,Note 4,60,0.0,1.0,0.0,0
9440-669,2024-07-15,20:39:04.501311,Marlboro,20,13.0,260.0,Bank Transfer,Seller A,2.47,8.26,Note 3,17,1.0,0.0,0.0,0
6981-138,2024-07-07,20:39:04.501311,Water,6,7.29,43.74,Credit Card,Seller B,10.73,7.0,Note 2,92,0.0,1.0,0.0,0
3494-951,2024-08-15,20:39:04.501311,Chocolate,9,11.81,106.29,Cash,Seller D,0.13,17.01,Note 3,1,0.0,0.0,0.0,0
3498-468,2024-08-22,20:39:04.501311,Chewing gums,18,9.98,179.64,Credit Card,Seller A,36.01,28.74,Note 1,31,0.0,0.0,0.0,0
8820-882,2024-07-28,20:39:04.501311,Soda,12,17.1,205.2,Credit Card,Seller A,55.74,32.83,Note 3,52,0.0,1.0,0.0,0
2858-431,2024-08-09,20:39:04.516941,Toilet Paper,14,7.46,104.44,PayPal,Seller D,22.35,16.71,Note 4,47,0.0,0.0,1.0,0
1560-579,2024-08-21,20:39:04.516941,Chewing gums,8,13.01,104.08,Credit Card,Seller B,0.94,16.65,Note 3,57,0.0,0.0,0.0,0
3305-395,2024-07-14,20:39:04.516941,Cookies,11,15.66,172.26,Bank Transfer,Seller D,22.8,27.56,Note 4,97,0.0,0.0,0.0,0
6680-439,2024-07-17,20:39:04.516941,Camel,11,17.0,187.0,Cash,Seller B,1.84,3.52,Note 1,94,1.0,0.0,0.0,0
4032-254,2024-08-19,20:39:04.516941,Soda,5,11.6,58.0,PayPal,Seller A,1.03,9.28,Note 1,22,0.0,1.0,0.0,0
9936-157,2024-07-30,20:39:04.516941,Toilet Paper,18,18.66,335.88,PayPal,Seller A,64.27,53.74,Note 1,0,0.0,0.0,1.0,0
8177-632,2024-07-14,20:39:04.516941,Lucky Strike,17,11.0,187.0,Credit Card,Seller C,5.16,3.4,Note 3,0,1.0,0.0,0.0,0
9034-541,2024-07-23,20:39:04.516941,Marlboro,1,13.0,13.0,Credit Card,Seller A,0.41,1.69,Note 1,48,1.0,0.0,0.0,0
7946-462,2024-07-23,20:39:04.516941,Water,9,19.92,179.28,Cash,Seller B,22.56,28.68,Note 1,15,0.0,1.0,0.0,0
3760-192,2024-07-16,20:39:04.532569,Water,20,3.46,69.2,Cash,Seller A,5.61,11.07,Note 2,77,0.0,1.0,0.0,0
6923-367,2024-07-15,20:39:04.532569,Chocolate,5,10.99,54.95,Credit Card,Seller D,16.2,8.79,Note 1,38,0.0,0.0,0.0,0
8094-158,2024-07-10,20:39:04.532569,Toilet Paper,17,9.78,166.26,Bank Transfer,Seller C,46.6,26.6,Note 4,10,0.0,0.0,1.0,0
5283-427,2024-08-30,20:39:04.532569,Juice,3,19.86,59.58,Credit Card,Seller A,5.32,9.53,Note 3,28,0.0,1.0,0.0,0
4469-364,2024-07-18,20:39:04.532569,Toilet Paper,5,3.86,19.3,Cash,Seller A,5.02,3.09,Note 1,72,0.0,0.0,1.0,0
1889-714,2024-08-08,20:39:04.532569,Cigarette Lighter,11,12.0,132.0,Credit Card,Seller C,9.8,12.02,Note 3,6,0.0,0.0,1.0,0
9227-240,2024-07-03,20:39:04.532569,Chewing gums,8,10.75,86.0,Bank Transfer,Seller A,25.21,13.76,Note 3,28,0.0,0.0,0.0,0
8327-968,2024-08-22,20:39:04.532569,Chewing gums,17,1.03,17.51,Bank Transfer,Seller C,3.79,2.8,Note 2,88,0.0,0.0,0.0,0
3219-829,2024-08-12,20:39:04.532569,Beer,3,10.81,32.43,PayPal,Seller D,7.09,5.19,Note 3,6,0.0,1.0,0.0,0
4093-275,2024-08-15,20:39:04.532569,Soda,18,1.19,21.42,Cash,Seller B,3.19,3.43,Note 2,28,0.0,1.0,0.0,0
9224-917,2024-08-18,20:39:04.548193,Candies,12,2.36,28.32,Cash,Seller C,0.15,4.53,Note 1,43,0.0,0.0,0.0,0
6846-613,2024-07-17,20:39:04.548193,Chocolate,12,13.34,160.08,Bank Transfer,Seller B,2.71,25.61,Note 2,70,0.0,0.0,0.0,0
9146-309,2024-08-02,20:39:04.548193,Water,20,3.08,61.6,PayPal,Seller C,14.29,9.86,Note 3,91,0.0,1.0,0.0,0
3746-374,2024-07-17,20:39:04.548193,Lucky Strike,4,11.0,44.0,Credit Card,Seller B,0.64,0.8,Note 4,94,1.0,0.0,0.0,0
