Invoice Number,Date Sale,Time Sale,Product,Category,Quantity,Unit Price,Total Sale,Payment Method,Seller,Discounts,Taxes,Notes,Remaining Stock
9159-188,2024-07-14,20:39:04.376317,Beer,Drinks,12,11.62,139.44,Cash,Seller B,5.76,22.31,Note 1,1
8077-621,2024-08-23,20:39:04.376317,Candies,Candies,20,5.56,111.2,Bank Transfer,Seller D,29.67,17.79,Note 3,29
9763-435,2024-07-24,20:39:04.376317,Toilet Paper,Others,15,19.6,294,Bank Transfer,Seller B,66.99,47.04,Note 4,39
4796-123,2024-08-21,20:39:04.376317,Lucky Strike,Cigarettes,3,11,33,PayPal,Seller B,0.96,1.74,Note 2,54
5430-913,2024-08-26,20:39:04.376317,Lucky Strike,Cigarettes,9,11,99,Credit Card,Seller C,35.68,23.13,Note 3,3
6352-265,2024-08-27,20:39:04.376317,Camel,Cigarettes,19,17,323,Credit Card,Seller A,8.56,8.69,Note 2,91
1229-224,2024-07-13,20:39:04.376317,Cigarette Lighter,Others,11,12,132,Bank Transfer,Seller A,42.99,26.45,Note 1,45
6591-498,2024-07-16,20:39:04.376317,Toilet Paper,Others,19,3.45,65.55,Credit Card,Seller C,16.37,10.49,Note 1,86
6323-371,2024-08-27,20:39:04.391946,Cigarette Lighter,Others,3,12,36,Cash,Seller A,8.95,6.72,Note 3,51
1541-350,2024-07-27,20:39:04.391946,Toilet Paper,Others,2,10.79,21.58,Cash,Seller D,5.28,3.45,Note 2,50
2047-727,2024-08-04,20:39:04.391946,Chewing gums,Candies,1,2.84,2.84,Cash,Seller C,0.46,0.45,Note 3,33
3183-543,2024-07-13,20:39:04.391946,Toilet Paper,Others,10,6.17,61.7,Cash,Seller D,2.11,9.87,Note 4,22
3155-431,2024-08-11,20:39:04.391946,Cookies,Candies,8,8.43,67.44,Credit Card,Seller A,13.45,10.79,Note 3,94
6649-197,2024-07-16,20:39:04.391946,Magazine,Others,17,14.29,242.93,Bank Transfer,Seller B,55.91,38.87,Note 3,79
6968-950,2024-08-22,20:39:04.391946,Marlboro,Cigarettes,7,13,91,PayPal,Seller A,30.2,16.96,Note 1,72
3426-387,2024-08-12,20:39:04.391946,Water,Drinks,17,3.46,58.82,Credit Card,Seller A,11.15,9.41,Note 4,91
7798-339,2024-07-28,20:39:04.391946,Lucky Strike,Cigarettes,4,11,44,Cash,Seller B,1.08,3.83,Note 3,96
4452-671,2024-07-25,20:39:04.391946,Toilet Paper,Others,12,17.59,211.08,Credit Card,Seller A,46.94,33.77,Note 3,19
2133-201,2024-07-25,20:39:04.407568,Toilet Paper,Others,1,3.05,3.05,Cash,Seller C,0.79,0.49,Note 3,79
4953-481,2024-08-16,20:39:04.407568,Juice,Drinks,7,14.39,100.73,Bank Transfer,Seller C,7.75,16.12,Note 4,39
8639-403,2024-07-19,20:39:04.407568,Toilet Paper,Others,16,6.4,102.4,Bank Transfer,Seller C,0.23,16.38,Note 1,42
7229-422,2024-08-08,20:39:04.407568,Camel,Cigarettes,14,17,238,Credit Card,Seller A,1.42,5.15,Note 1,68
4188-967,2024-08-18,20:39:04.407568,Candies,Candies,18,9.7,174.6,Credit Card,Seller C,23.27,27.94,Note 3,43
9086-960,2024-07-17,20:39:04.407568,Magazine,Others,3,14.33,42.99,PayPal,Seller B,5.88,6.88,Note 3,11
9496-620,2024-08-15,20:39:04.407568,Cigarette Lighter,Others,5,12,60,Cash,Seller B,6.22,5.46,Note 4,17
5120-478,2024-07-02,20:39:04.407568,Juice,Drinks,8,16.06,128.48,Bank Transfer,Seller A,15.36,20.56,Note 1,63
3064-146,2024-07-01,20:39:04.423192,Marlboro,Cigarettes,20,13,260,Bank Transfer,Seller C,63.81,47.1,Note 2,61
7648-554,2024-08-27,20:39:04.423192,Magazine,Others,9,15.48,139.32,PayPal,Seller B,20.96,22.29,Note 3,56
5664-150,2024-07-31,20:39:04.423192,Lucky Strike,Cigarettes,15,11,165,PayPal,Seller A,0.53,8.69,Note 3,26
9467-822,2024-08-06,20:39:04.423192,Cigarette Lighter,Others,6,12,72,Bank Transfer,Seller C,15.97,14.8,Note 4,67
1068-195,2024-07-09,20:39:04.423192,Chocolate,Candies,6,15.64,93.84,PayPal,Seller C,6.65,15.01,Note 4,74
8936-201,2024-07-25,20:39:04.423192,Water,Drinks,7,16.51,115.57,Cash,Seller C,28.82,18.49,Note 4,77
9658-857,2024-08-27,20:39:04.423192,Lucky Strike,Cigarettes,5,11,55,PayPal,Seller C,6.13,8.18,Note 1,92
7160-950,2024-07-21,20:39:04.423192,Juice,Drinks,1,10.16,10.16,Bank Transfer,Seller D,2.54,1.63,Note 3,94
3657-948,2024-07-25,20:39:04.423192,Candies,Candies,20,9.07,181.4,Cash,Seller C,0.61,29.02,Note 2,62
9534-666,2024-08-05,20:39:04.438819,Lucky Strike,Cigarettes,4,11,44,Credit Card,Seller D,2.76,8.23,Note 2,67
3839-684,2024-07-15,20:39:04.438819,Soda,Drinks,19,2.9,55.1,Bank Transfer,Seller A,15.36,8.82,Note 1,96
3892-115,2024-08-24,20:39:04.438819,Water,Drinks,20,1.22,24.4,Cash,Seller C,5.53,3.9,Note 1,49
5752-322,2024-08-11,20:39:04.438819,Marlboro,Cigarettes,11,13,143,Cash,Seller C,24.69,30.25,Note 3,100
6553-759,2024-08-25,20:39:04.438819,Water,Drinks,6,15.54,93.24,Bank Transfer,Seller C,15.61,14.92,Note 1,1
3145-417,2024-07-04,20:39:04.438819,Water,Drinks,2,2.53,5.06,Credit Card,Seller C,0.39,0.81,Note 1,34
1589-422,2024-08-10,20:39:04.438819,Toilet Paper,Others,6,1.62,9.72,Credit Card,Seller D,0.02,1.56,Note 1,82
8437-243,2024-08-12,20:39:04.438819,Candies,Candies,8,1.26,10.08,PayPal,Seller D,0.59,1.61,Note 2,97
9527-768,2024-08-02,20:39:04.438819,Camel,Cigarettes,17,17,289,Cash,Seller A,71.33,42.81,Note 2,10
4384-514,2024-07-26,20:39:04.454437,Water,Drinks,13,6.17,80.21,Bank Transfer,Seller B,7.51,12.83,Note 4,60
3276-708,2024-08-10,20:39:04.454437,Water,Drinks,10,12.06,120.6,PayPal,Seller D,26.43,19.3,Note 2,33
8812-648,2024-07-14,20:39:04.454437,Cookies,Candies,14,17.67,247.38,Credit Card,Seller A,54.94,39.58,Note 1,81
5154-866,2024-08-17,20:39:04.454437,Camel,Cigarettes,5,17,85,Credit Card,Seller D,18.98,14.09,Note 1,16
8421-509,2024-08-19,20:39:04.454437,Water,Drinks,4,6.17,24.68,PayPal,Seller B,3.81,3.95,Note 1,54
3349-903,2024-08-27,20:39:04.454437,Cookies,Candies,9,15.66,140.94,PayPal,Seller A,26.58,22.55,Note 2,53
5768-159,2024-08-24,20:39:04.454437,Cigarette Lighter,Others,20,12,240,Bank Transfer,Seller A,40.38,30.88,Note 3,32
7034-701,2024-07-27,20:39:04.454437,Soda,Drinks,8,16.72,133.76,Cash,Seller C,4.58,21.4,Note 3,60
4535-791,2024-07-11,20:39:04.454437,Magazine,Others,3,4.51,13.53,Credit Card,Seller B,3.02,2.16,Note 2,60
1600-768,2024-08-29,20:39:04.470068,Candies,Candies,2,18.1,36.2,Cash,Seller D,0.88,5.79,Note 3,37
4642-389,2024-07-07,20:39:04.470068,Candies,Candies,17,19.4,329.8,Bank Transfer,Seller D,74.08,52.77,Note 2,24
6931-313,2024-08-07,20:39:04.470068,Beer,Drinks,20,17.22,344.4,Bank Transfer,Seller B,10.94,55.1,Note 4,93
7299-346,2024-07-10,20:39:04.470068,Soda,Drinks,8,19.31,154.48,Cash,Seller A,25.28,24.72,Note 3,31
9084-749,2024-08-05,20:39:04.470068,Cigarette Lighter,Others,5,12,60,Bank Transfer,Seller B,3.7,3.8,Note 4,44
6086-656,2024-08-10,20:39:04.470068,Chewing gums,Candies,3,13.8,41.4,Credit Card,Seller B,7.81,6.62,Note 3,74
5733-819,2024-07-21,20:39:04.470068,Toilet Paper,Others,18,2.02,36.36,Cash,Seller C,4.41,5.82,Note 3,0
5992-177,2024-07-31,20:39:04.470068,Soda,Drinks,7,5.61,39.27,Bank Transfer,Seller A,11.05,6.28,Note 2,79
9714-652,2024-08-17,20:39:04.470068,Camel,Cigarettes,15,17,255,Cash,Seller B,1.53,9.46,Note 1,78
5891-684,2024-08-01,20:39:04.485694,Chocolate,Candies,18,19.45,350.1,PayPal,Seller C,68.49,56.02,Note 2,96
1443-252,2024-08-30,20:39:04.485694,Lucky Strike,Cigarettes,6,11,66,Bank Transfer,Seller B,25.2,17.65,Note 4,23
9918-783,2024-07-19,20:39:04.485694,Chewing gums,Candies,11,1.03,11.33,Credit Card,Seller A,2.93,1.81,Note 1,8
1883-797,2024-07-18,20:39:04.485694,Chewing gums,Candies,3,19.29,57.87,PayPal,Seller A,15.45,9.26,Note 2,7
4221-662,2024-08-23,20:39:04.485694,Camel,Cigarettes,17,17,289,Credit Card,Seller A,59.03,33.08,Note 1,7
8495-765,2024-08-15,20:39:04.485694,Lucky Strike,Cigarettes,15,11,165,Bank Transfer,Seller D,28.96,23.86,Note 2,74
2710-807,2024-07-08,20:39:04.485694,Cigarette Lighter,Others,11,12,132,Bank Transfer,Seller C,5.47,13.82,Note 3,7
9738-541,2024-07-08,20:39:04.485694,Lucky Strike,Cigarettes,2,11,22,Credit Card,Seller A,3.34,2.33,Note 3,36
5001-789,2024-08-23,20:39:04.485694,Water,Drinks,14,14.95,209.3,Bank Transfer,Seller B,33.17,33.49,Note 3,10
5317-302,2024-07-14,20:39:04.485694,Marlboro,Cigarettes,7,13,91,Credit Card,Seller B,2.31,1.41,Note 2,36
7575-433,2024-08-23,20:39:04.501311,Soda,Drinks,14,3.27,45.78,Cash,Seller D,6.93,7.32,Note 4,48
2513-902,2024-07-16,20:39:04.501311,Toilet Paper,Others,1,1.62,1.62,Bank Transfer,Seller C,0.17,0.26,Note 3,10
4167-668,2024-08-25,20:39:04.501311,Marlboro,Cigarettes,16,13,208,Credit Card,Seller D,3.81,14.05,Note 4,71
8861-944,2024-08-06,20:39:04.501311,Water,Drinks,8,12.5,100,Cash,Seller C,29.97,16,Note 4,60
9440-669,2024-07-15,20:39:04.501311,Marlboro,Cigarettes,20,13,260,Bank Transfer,Seller A,2.47,8.26,Note 3,17
6981-138,2024-07-07,20:39:04.501311,Water,Drinks,6,7.29,43.74,Credit Card,Seller B,10.73,7,Note 2,92
3494-951,2024-08-15,20:39:04.501311,Chocolate,Candies,9,11.81,106.29,Cash,Seller D,0.13,17.01,Note 3,1
3498-468,2024-08-22,20:39:04.501311,Chewing gums,Candies,18,9.98,179.64,Credit Card,Seller A,36.01,28.74,Note 1,31
8820-882,2024-07-28,20:39:04.501311,Soda,Drinks,12,17.1,205.2,Credit Card,Seller A,55.74,32.83,Note 3,52
2858-431,2024-08-09,20:39:04.516941,Toilet Paper,Others,14,7.46,104.44,PayPal,Seller D,22.35,16.71,Note 4,47
1560-579,2024-08-21,20:39:04.516941,Chewing gums,Candies,8,13.01,104.08,Credit Card,Seller B,0.94,16.65,Note 3,57
3305-395,2024-07-14,20:39:04.516941,Cookies,Candies,11,15.66,172.26,Bank Transfer,Seller D,22.8,27.56,Note 4,97
6680-439,2024-07-17,20:39:04.516941,Camel,Cigarettes,11,17,187,Cash,Seller B,1.84,3.52,Note 1,94
4032-254,2024-08-19,20:39:04.516941,Soda,Drinks,5,11.6,58,PayPal,Seller A,1.03,9.28,Note 1,22
9936-157,2024-07-30,20:39:04.516941,Toilet Paper,Others,18,18.66,335.88,PayPal,Seller A,64.27,53.74,Note 1,0
8177-632,2024-07-14,20:39:04.516941,Lucky Strike,Cigarettes,17,11,187,Credit Card,Seller C,5.16,3.4,Note 3,0
9034-541,2024-07-23,20:39:04.516941,Marlboro,Cigarettes,1,13,13,Credit Card,Seller A,0.41,1.69,Note 1,48
7946-462,2024-07-23,20:39:04.516941,Water,Drinks,9,19.92,179.28,Cash,Seller B,22.56,28.68,Note 1,15
3760-192,2024-07-16,20:39:04.532569,Water,Drinks,20,3.46,69.2,Cash,Seller A,5.61,11.07,Note 2,77
6923-367,2024-07-15,20:39:04.532569,Chocolate,Candies,5,10.99,54.95,Credit Card,Seller D,16.2,8.79,Note 1,38
8094-158,2024-07-10,20:39:04.532569,Toilet Paper,Others,17,9.78,166.26,Bank Transfer,Seller C,46.6,26.6,Note 4,10
5283-427,2024-08-30,20:39:04.532569,Juice,Drinks,3,19.86,59.58,Credit Card,Seller A,5.32,9.53,Note 3,28
4469-364,2024-07-18,20:39:04.532569,Toilet Paper,Others,5,3.86,19.3,Cash,Seller A,5.02,3.09,Note 1,72
1889-714,2024-08-08,20:39:04.532569,Cigarette Lighter,Others,11,12,132,Credit Card,Seller C,9.8,12.02,Note 3,6
9227-240,2024-07-03,20:39:04.532569,Chewing gums,Candies,8,10.75,86,Bank Transfer,Seller A,25.21,13.76,Note 3,28
8327-968,2024-08-22,20:39:04.532569,Chewing gums,Candies,17,1.03,17.51,Bank Transfer,Seller C,3.79,2.8,Note 2,88
3219-829,2024-08-12,20:39:04.532569,Beer,Drinks,3,10.81,32.43,PayPal,Seller D,7.09,5.19,Note 3,6
4093-275,2024-08-15,20:39:04.532569,Soda,Drinks,18,1.19,21.42,Cash,Seller B,3.19,3.43,Note 2,28
9224-917,2024-08-18,20:39:04.548193,Candies,Candies,12,2.36,28.32,Cash,Seller C,0.15,4.53,Note 1,43
6846-613,2024-07-17,20:39:04.548193,Chocolate,Candies,12,13.34,160.08,Bank Transfer,Seller B,2.71,25.61,Note 2,70
9146-309,2024-08-02,20:39:04.548193,Water,Drinks,20,3.08,61.6,PayPal,Seller C,14.29,9.86,Note 3,91
3746-374,2024-07-17,20:39:04.548193,Lucky Strike,Cigarettes,4,11,44,Credit Card,Seller B,0.64,0.8,Note 4,94
1477-791,2024-07-08,20:39:04.548193,Chocolate,Candies,11,6.53,71.83,Credit Card,Seller D,19.98,11.49,Note 3,70
5935-320,2024-08-27,20:39:04.548193,Beer,Drinks,4,15.57,62.28,PayPal,Seller A,16.34,9.96,Note 2,87
2017-502,2024-08-28,20:39:04.548193,Soda,Drinks,19,14.56,276.64,Bank Transfer,Seller B,38.12,44.26,Note 1,69
7725-499,2024-07-03,20:39:04.548193,Toilet Paper,Others,20,3.86,77.2,PayPal,Seller C,21.2,12.35,Note 4,3
4981-443,2024-07-30,20:39:04.563817,Lucky Strike,Cigarettes,13,11,143,Bank Transfer,Seller A,59.02,35.67,Note 1,77
2416-561,2024-08-03,20:39:04.563817,Cookies,Candies,7,9.66,67.62,PayPal,Seller D,12.04,10.82,Note 3,70
5347-698,2024-08-20,20:39:04.563817,Soda,Drinks,7,13.18,92.26,Cash,Seller C,25.77,14.76,Note 2,76
2468-502,2024-07-01,20:39:04.563817,Toilet Paper,Others,10,14.63,146.3,Bank Transfer,Seller B,20.04,23.41,Note 3,2
7911-697,2024-08-01,20:39:04.563817,Cookies,Candies,17,12.26,208.42,Bank Transfer,Seller B,61.4,33.35,Note 1,16
5065-330,2024-08-19,20:39:04.563817,Chocolate,Candies,6,2.2,13.2,Cash,Seller A,1.33,2.11,Note 3,41
7893-696,2024-08-17,20:39:04.563817,Chocolate,Candies,16,17.62,281.92,Cash,Seller C,18.7,45.11,Note 1,10
3261-241,2024-07-13,20:39:04.563817,Chewing gums,Candies,9,17.56,158.04,Credit Card,Seller B,1.92,25.29,Note 3,71
8893-525,2024-08-30,20:39:04.563817,Beer,Drinks,4,16.69,66.76,Credit Card,Seller B,9.78,10.68,Note 4,100
2593-406,2024-07-17,20:39:04.563817,Marlboro,Cigarettes,4,13,52,Cash,Seller B,11.73,7.24,Note 3,11
8307-558,2024-08-01,20:39:04.579442,Water,Drinks,8,2.15,17.2,Bank Transfer,Seller C,4.99,2.75,Note 4,32
9397-392,2024-08-24,20:39:04.579442,Cigarette Lighter,Others,9,12,108,Credit Card,Seller B,3.8,5.63,Note 4,8
5758-914,2024-08-21,20:39:04.579442,Juice,Drinks,15,16.37,245.55,Credit Card,Seller C,69.37,39.29,Note 2,87
1255-267,2024-07-19,20:39:04.579442,Water,Drinks,1,18.66,18.66,Cash,Seller C,3.09,2.99,Note 3,93
8670-262,2024-07-02,20:39:04.579442,Chocolate,Candies,6,15.6,93.6,Credit Card,Seller B,1.35,14.98,Note 2,52
1488-988,2024-07-05,20:39:04.579442,Chocolate,Candies,11,10.19,112.09,Cash,Seller D,32.12,17.93,Note 3,56
2990-198,2024-07-22,20:39:04.579442,Magazine,Others,18,14.66,263.88,Cash,Seller D,15.89,42.22,Note 4,31
8353-164,2024-07-07,20:39:04.579442,Juice,Drinks,1,12.1,12.1,PayPal,Seller D,2.26,1.94,Note 2,6
1672-555,2024-08-01,20:39:04.579442,Chocolate,Candies,4,16.22,64.88,PayPal,Seller D,13.6,10.38,Note 2,79
5257-808,2024-08-11,20:39:04.595070,Chocolate,Candies,1,8.5,8.5,Cash,Seller D,1.53,1.36,Note 4,78
5211-762,2024-07-18,20:39:04.595070,Water,Drinks,15,9.69,145.35,Credit Card,Seller C,32.2,23.26,Note 3,7
6505-338,2024-08-28,20:39:04.595070,Water,Drinks,3,2.39,7.17,Cash,Seller A,0.32,1.15,Note 1,65
5332-477,2024-07-17,20:39:04.595070,Cigarette Lighter,Others,5,12,60,PayPal,Seller B,13.13,8.51,Note 2,68
1782-781,2024-08-17,20:39:04.595070,Cigarette Lighter,Others,6,12,72,Credit Card,Seller B,4.79,12.92,Note 2,84
3494-499,2024-08-09,20:39:04.595070,Candies,Candies,15,19.6,294,Credit Card,Seller D,45.29,47.04,Note 3,75
8983-820,2024-08-24,20:39:04.595070,Cigarette Lighter,Others,11,12,132,Cash,Seller A,13.22,21.86,Note 1,63
